tissue	sample_type	tpm
ACC	normal	3.5669
ACC	normal	3.4984
ACC	normal	3.6172
ACC	normal	3.9337
ACC	normal	3.795
ACC	normal	3.2572
ACC	normal	2.2144
ACC	normal	3.1604
ACC	normal	2.5731
ACC	normal	3.4183
ACC	normal	3.7094
ACC	normal	3.7345
ACC	normal	3.9079
ACC	normal	3.4856
ACC	normal	3.2602
ACC	normal	3.2959
ACC	normal	2.5876
ACC	normal	3.5633
ACC	normal	3.7656
ACC	normal	2.8381
ACC	normal	3.6195
ACC	normal	2.6418
ACC	normal	3.5274
ACC	normal	3.8401
ACC	normal	3.7226
ACC	normal	2.8994
ACC	normal	3.242
ACC	normal	3.9728
ACC	normal	3.245
ACC	normal	3.755
ACC	normal	4.0295
ACC	normal	3.3192
ACC	normal	3.1278
ACC	normal	3.8147
ACC	normal	3.6646
ACC	normal	2.7763
ACC	normal	3.716
ACC	normal	2.5924
ACC	normal	3.5274
ACC	normal	3.5935
ACC	normal	3.1781
ACC	normal	3.7248
ACC	normal	3.8157
ACC	normal	4.0653
ACC	normal	3.4277
ACC	normal	4.0696
ACC	normal	3.7625
ACC	normal	0.605
ACC	normal	2.1541
ACC	normal	2.1345
ACC	normal	2.0638
ACC	normal	4.1547
ACC	normal	2.9562
ACC	normal	4.1506
ACC	normal	3.7378
ACC	normal	3.4971
ACC	normal	3.0481
ACC	normal	3.7182
ACC	normal	3.869
ACC	normal	3.9356
ACC	normal	3.5657
ACC	normal	3.8511
ACC	normal	3.5645
ACC	normal	3.186
ACC	normal	4.3765
ACC	normal	3.9204
ACC	normal	3.9938
ACC	normal	3.9468
ACC	normal	3.5324
ACC	normal	4.1244
ACC	normal	3.8886
ACC	normal	2.9765
ACC	normal	3.492
ACC	normal	4.6628
ACC	normal	3.7614
ACC	normal	1.5758
ACC	normal	3.793
ACC	normal	3.402
ACC	normal	3.8044
ACC	normal	2.59
ACC	normal	3.8611
ACC	normal	1.6604
ACC	normal	3.6417
ACC	normal	3.6006
ACC	normal	3.8401
ACC	normal	3.6066
ACC	normal	3.8239
ACC	normal	4.01
ACC	normal	3.7846
ACC	normal	3.3032
ACC	normal	4.1844
ACC	normal	3.0305
ACC	normal	4.0242
ACC	normal	3.5947
ACC	normal	3.4197
ACC	normal	3.772
ACC	normal	-9.9658
ACC	normal	4.3506
ACC	normal	3.0074
ACC	normal	3.9608
ACC	normal	3.0995
ACC	normal	2.7615
ACC	normal	3.6646
ACC	normal	4.2427
ACC	normal	3.5947
ACC	normal	3.5682
ACC	normal	2.1734
ACC	normal	3.652
ACC	normal	3.7039
ACC	normal	2.5213
ACC	normal	3.027
ACC	normal	3.8866
ACC	normal	3.6195
ACC	normal	3.5887
ACC	normal	3.7857
ACC	normal	3.5682
ACC	normal	3.6972
ACC	normal	3.6894
ACC	normal	4.0807
ACC	normal	4.0392
ACC	normal	4.1764
ACC	normal	3.5411
ACC	normal	3.5899
ACC	normal	3.5098
ACC	normal	3.8491
ACC	normal	1.9302
ACC	normal	2.5634
ACC	normal	3.9524
ACC	tumor	3.3177
ACC	tumor	1.8996
ACC	tumor	4.041
ACC	tumor	3.5669
ACC	tumor	3.0978
ACC	tumor	3.8778
ACC	tumor	4.1327
ACC	tumor	4.7442
ACC	tumor	4.5066
ACC	tumor	4.1628
ACC	tumor	3.8837
ACC	tumor	3.0446
ACC	tumor	3.2496
ACC	tumor	3.9829
ACC	tumor	3.1079
ACC	tumor	2.8582
ACC	tumor	4.9519
ACC	tumor	3.1145
ACC	tumor	3.1327
ACC	tumor	3.8531
ACC	tumor	4.2929
ACC	tumor	2.5487
ACC	tumor	4.1136
ACC	tumor	3.162
ACC	tumor	4.7587
ACC	tumor	4.0584
ACC	tumor	3.5947
ACC	tumor	4.0575
ACC	tumor	3.9543
ACC	tumor	2.6418
ACC	tumor	3.8491
ACC	tumor	4.2578
ACC	tumor	3.8808
ACC	tumor	2.3337
ACC	tumor	4.1828
ACC	tumor	3.5851
ACC	tumor	5.1396
ACC	tumor	3.4765
ACC	tumor	4.5898
ACC	tumor	2.6114
ACC	tumor	4.001
ACC	tumor	4.162
ACC	tumor	4.5066
ACC	tumor	4.0722
ACC	tumor	3.2617
ACC	tumor	5.5996
ACC	tumor	5.1563
ACC	tumor	2.5511
ACC	tumor	3.3364
ACC	tumor	2.9655
ACC	tumor	2.9338
ACC	tumor	4.3385
ACC	tumor	2.2813
ACC	tumor	3.2481
ACC	tumor	4.8812
ACC	tumor	4.735
ACC	tumor	3.5424
ACC	tumor	3.3633
ACC	tumor	4.3399
ACC	tumor	4.1351
ACC	tumor	1.6045
ACC	tumor	1.9749
ACC	tumor	4.208
ACC	tumor	3.3938
ACC	tumor	1.8957
ACC	tumor	4.8017
ACC	tumor	3.7507
ACC	tumor	4.1978
ACC	tumor	3.5424
ACC	tumor	5.1073
ACC	tumor	4.6662
ACC	tumor	4.0722
ACC	tumor	3.0808
ACC	tumor	3.6312
ACC	tumor	4.6306
ACC	tumor	3.0619
ACC	tumor	2.7051
BLCA	normal	4.8445
BLCA	normal	4.7077
BLCA	normal	4.504
BLCA	normal	4.7767
BLCA	normal	4.0269
BLCA	normal	5.0339
BLCA	normal	4.706
BLCA	normal	3.7898
BLCA	normal	4.3227
BLCA	tumor	5.7247
BLCA	tumor	6.2099
BLCA	tumor	5.2724
BLCA	tumor	4.9695
BLCA	tumor	4.2009
BLCA	tumor	6.5105
BLCA	tumor	5.682
BLCA	tumor	5.1672
BLCA	tumor	5.2791
BLCA	tumor	4.6399
BLCA	tumor	4.0497
BLCA	tumor	5.6488
BLCA	tumor	4.6787
BLCA	tumor	5.6077
BLCA	tumor	3.4048
BLCA	tumor	5.2806
BLCA	tumor	5.9418
BLCA	tumor	5.337
BLCA	tumor	5.9521
BLCA	tumor	5.7277
BLCA	tumor	5.9435
BLCA	tumor	5.7916
BLCA	tumor	5.4033
BLCA	tumor	3.9506
BLCA	tumor	3.643964
BLCA	tumor	5.187876
BLCA	tumor	4.466034
BLCA	normal	4.1425
BLCA	tumor	6.3409
BLCA	tumor	3.9524
BLCA	tumor	6.2717
BLCA	tumor	4.858
BLCA	tumor	5.2958
BLCA	tumor	2.1345
BLCA	normal	3.8954
BLCA	tumor	5.5435
BLCA	tumor	4.9284
BLCA	tumor	4.9117
BLCA	normal	4.5205
BLCA	tumor	5.2991
BLCA	normal	3.7539
BLCA	tumor	4.976
BLCA	tumor	6.8338
BLCA	normal	4.836
BLCA	tumor	6.3577
BLCA	tumor	6.8605
BLCA	normal	5.6617
BLCA	tumor	2.0254
BLCA	tumor	6.2112
BLCA	normal	5.2954
BLCA	tumor	5.8699
BLCA	normal	4.3958
BLCA	tumor	6.0997
BLCA	tumor	4.3385
BLCA	tumor	6.0128
BLCA	tumor	5.2377
BLCA	tumor	6.0226
BLCA	tumor	4.7656
BLCA	tumor	3.6635
BLCA	tumor	6.0547
BLCA	tumor	1.2756
BLCA	tumor	4.7603
BLCA	tumor	5.4155
BLCA	tumor	5.9969
BLCA	tumor	4.5436
BLCA	tumor	5.2765
BLCA	tumor	4.1027
BLCA	tumor	3.8808
BLCA	tumor	4.4855
BLCA	tumor	5.2502
BLCA	tumor	4.4647
BLCA	tumor	5.656
BLCA	tumor	5.7074
BLCA	tumor	5.2777
BLCA	tumor	6.1033
BLCA	tumor	5.0691
BLCA	tumor	5.17
BLCA	tumor	5.1273
BLCA	tumor	5.3792
BLCA	tumor	5.1843
BLCA	tumor	4.2088
BLCA	tumor	5.2426
BLCA	tumor	4.9686
BLCA	tumor	5.4006
BLCA	tumor	4.717
BLCA	tumor	6.1767
BLCA	tumor	2.4171
BLCA	normal	4.3583
BLCA	tumor	5.2548
BLCA	tumor	4.5717
BLCA	normal	4.8269
BLCA	tumor	4.3793
BLCA	tumor	4.3548
BLCA	tumor	5.306
BLCA	tumor	2.128
BLCA	tumor	4.7099
BLCA	tumor	4.4562
BLCA	tumor	6.0159
BLCA	tumor	3.4384
BLCA	tumor	4.1044
BLCA	tumor	5.9969
BLCA	tumor	3.2915
BLCA	tumor	6.863
BLCA	tumor	5.4954
BLCA	tumor	6.563
BLCA	tumor	5.3169
BLCA	tumor	6.0074
BLCA	tumor	4.6323
BLCA	tumor	2.9205
BLCA	tumor	5.0251
BLCA	tumor	5.2483
BLCA	tumor	3.2541
BLCA	tumor	5.6419
BLCA	tumor	5.7156
BLCA	tumor	5.8202
