sample	tissue	type	sample_type
TCGA-OR-A5LE-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5L5-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5LL-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5LC-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JF-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5K0-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JY-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5L3-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JS-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JT-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5K4-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5K9-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5LO-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5K5-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JD-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5K6-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5KW-01	ACC	ACC_tumor_TCGA	tumor
TCGA-P6-A5OF-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5LJ-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JA-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5L9-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OU-A5PI-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5LA-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5L4-01	ACC	ACC_tumor_TCGA	tumor
TCGA-P6-A5OG-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5J2-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5KT-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5KO-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5KU-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5LP-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JL-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5L8-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5LH-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5LS-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5LN-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5J7-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5J6-01	ACC	ACC_tumor_TCGA	tumor
TCGA-PK-A5H9-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JO-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JQ-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JM-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5KX-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5J3-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5KY-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5J9-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JE-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5KV-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5LT-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JV-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5K3-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JB-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5LD-01	ACC	ACC_tumor_TCGA	tumor
TCGA-PA-A5YG-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JX-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JK-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5K1-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JW-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5LG-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JR-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5KZ-01	ACC	ACC_tumor_TCGA	tumor
TCGA-PK-A5H8-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JP-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5K8-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JC-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5J5-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5LM-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JI-01	ACC	ACC_tumor_TCGA	tumor
TCGA-PK-A5HB-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5LK-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JG-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JZ-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5L6-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5LB-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5J1-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5JJ-01	ACC	ACC_tumor_TCGA	tumor
TCGA-PK-A5HA-01	ACC	ACC_tumor_TCGA	tumor
TCGA-OR-A5J8-01	ACC	ACC_tumor_TCGA	tumor
TCGA-DK-A3IL-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A6TC-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-BL-A5ZZ-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-DK-A2HX-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FD-A6TF-01	BLCA	BLCA_tumor_TCGA	tumor
TCGA-FT-A3EE-01	BLCA	BLCA_tumor_TCGA	tumor
